title,data sorce,info,details link
서울특별시_코로나19 자치구별 확진자 발생동향,서울특별시,서울특별시 기준의 코로나19 자치구별 확진자 발생 동향입니다. ※ 데이터는 질병관리본부 조사 결과에 따라 수시 변동될 수 있습니다.,https://www.data.go.kr/data/15081054/fileData.do
대구광역시 남구_코로나19 일자별 확진자 현황,대구광역시 남구,"2020년 2월 18일부터 2021년 8월 3일까지의 대구광역시 남구 관내 코로나19 일자별 확진자 현황(연번, 날짜, 일일 확진자수, 누계, 비고) 정보를 제공합니다.",https://www.data.go.kr/data/15085588/fileData.do
한국언론진흥재단_코로나19이후국민의일상변화조사_코로나19로 인한 감정 변화,한국언론진흥재단,코로나19 이후 국민의 감정 변화 자료입니다. 2020 코로나19 이후 국민의 일상 변화 조사에서 제공하는 자료입니다.,https://www.data.go.kr/data/15077858/fileData.do
경기도 하남시_코로나 확진자 누적 현황,경기도 하남시,"경기도 하남시의 일자별 코로나 확진자 수를 나열한 데이터입니다. 지역, 날짜, 확진자, 누적확진자, 기준일자를 제공합니다",https://www.data.go.kr/data/15083743/fileData.do
대구광역시 중구_코로나 확진자 일자별 현황,대구광역시 중구,"대구광역시 중구 내 코로나 확진자 일자별 현황에 대한 데이터로 확진환자, 사망자, 타구이관의 일계 누계 등의 항목을 제공합니다.",https://www.data.go.kr/data/15080726/fileData.do
서울특별시 동작구_동별 코로나19 확진 및 완치 현황,서울특별시 동작구,"서울특별시 동작구의 동별 코로나19 확진 및 완치 현황데이터로 동작구 동명,  확진자수 누계,  완치자수누계 데이터를 제공합니다.",https://www.data.go.kr/data/15061742/fileData.do
농촌진흥청_면역력 강화등 코로나19 예방을 위한 농산물,농촌진흥청,"코로나19를 예방할 수 있는 농산물을 소개합니다.  1. 작물정보, 효능효과, 요리 및 복용법2. 도라지, 마늘, 삼채,  달래, 두릅,  미나리, 산마늘 등",https://www.data.go.kr/data/15043253/fileData.do
서울특별시 동대문구_동대문구 코로나 행정동별 확진자 수,서울특별시 동대문구,"동대문구 코로나바이러스감염증-19 에 대한 데이터로 14개 행정동별(용신동, 제기동, 전농1동, 전농2동, 쳥량리동, 답십리1동, 답십리2동, 장안1동, 장안2동, 회기동, 휘경1동",https://www.data.go.kr/data/15061754/fileData.do
한국국제협력단_KOICA 국가별 코로나19 지원물품 내역,한국국제협력단,"KOICA ABC프로그램 관련 국가별 코로나19 지원물품(진단키트, 마스크, 손소독제 및 세정제, 식료품 및 긴급식량 등) 수량, 수혜자, 예산 관련 정보입니다.",https://www.data.go.kr/data/15074685/fileData.do
보건복지부_코로나19_지역별_사회적_거리두기,보건복지부,"2021년 9월 15일 기준으로 전국 17개시도(서울, 부산, 대구, 인천, 광주, 대전, 울산, 세종, 경기, 강원, 충북, 충남, 전북, 전남, 경북, 경남, 제주)의 코로나 19",https://www.data.go.kr/data/15089317/fileData.do
